row,col,lat,lon,elev
8,28,12.914,80.284,0.0
8,29,12.914,80.292,0.0
8,30,12.914,80.3,0.0
8,31,12.914,80.308,0.0
8,32,12.914,80.316,0.0
9,0,12.922,80.06,18.0
9,1,12.922,80.068,17.0
9,2,12.922,80.076,16.0
9,3,12.922,80.084,19.0
9,4,12.922,80.092,20.0
9,5,12.922,80.1,18.0
9,6,12.922,80.108,25.0
9,7,12.922,80.116,33.0
9,8,12.922,80.124,43.0
9,9,12.922,80.132,29.0
9,10,12.922,80.14,29.0
9,11,12.922,80.148,24.0
9,12,12.922,80.156,25.0
9,13,12.922,80.164,22.0
9,14,12.922,80.172,27.0
9,15,12.922,80.18,17.0
9,16,12.922,80.188,18.0
9,17,12.922,80.196,18.0
9,18,12.922,80.204,15.0
9,19,12.922,80.212,2.0
9,20,12.922,80.22,1.0
9,21,12.922,80.228,5.0
9,22,12.922,80.236,3.0
9,23,12.922,80.244,1.0
9,24,12.922,80.252,12.0
9,25,12.922,80.26,0.0
9,26,12.922,80.268,0.0
9,27,12.922,80.276,0.0
9,28,12.922,80.284,0.0
9,29,12.922,80.292,0.0
9,30,12.922,80.3,0.0
9,31,12.922,80.308,0.0
9,32,12.922,80.316,0.0
10,0,12.93,80.06,18.0
10,1,12.93,80.068,17.0
10,2,12.93,80.076,16.0
10,3,12.93,80.084,15.0
10,4,12.93,80.092,15.0
10,5,12.93,80.1,20.0
10,6,12.93,80.108,32.0
10,7,12.93,80.116,33.0
10,8,12.93,80.124,31.0
10,9,12.93,80.132,32.0
10,10,12.93,80.14,26.0
10,11,12.93,80.148,20.0
10,12,12.93,80.156,15.0
10,13,12.93,80.164,19.0
10,14,12.93,80.172,30.0
10,15,12.93,80.18,19.0
10,16,12.93,80.188,10.0
10,17,12.93,80.196,8.0
10,18,12.93,80.204,14.0
10,19,12.93,80.212,6.0
10,20,12.93,80.22,1.0
10,21,12.93,80.228,2.0
10,22,12.93,80.236,7.0
10,23,12.93,80.244,2.0
10,24,12.93,80.252,8.0
10,25,12.93,80.26,0.0
10,26,12.93,80.268,0.0
10,27,12.93,80.276,0.0
10,28,12.93,80.284,0.0
10,29,12.93,80.292,0.0
10,30,12.93,80.3,0.0
10,31,12.93,80.308,0.0
10,32,12.93,80.316,0.0
11,0,12.938,80.06,17.0
11,1,12.938,80.068,19.0
11,2,12.938,80.076,16.0
11,3,12.938,80.084,16.0
11,4,12.938,80.092,15.0
11,5,12.938,80.1,20.0
11,6,12.938,80.108,75.0
11,7,12.938,80.116,27.0
11,8,12.938,80.124,38.0
11,9,12.938,80.132,33.0
11,10,12.938,80.14,29.0
11,11,12.938,80.148,28.0
11,12,12.938,80.156,21.0
11,13,12.938,80.164,12.0
11,14,12.938,80.172,12.0
11,15,12.938,80.18,15.0
11,16,12.938,80.188,15.0
11,17,12.938,80.196,7.0
11,18,12.938,80.204,8.0
11,19,12.938,80.212,7.0
11,20,12.938,80.22,2.0
11,21,12.938,80.228,1.0
11,22,12.938,80.236,9.0
11,23,12.938,80.244,3.0
11,24,12.938,80.252,7.0
11,25,12.938,80.26,0.0
11,26,12.938,80.268,0.0
11,27,12.938,80.276,0.0
11,28,12.938,80.284,0.0
11,29,12.938,80.292,0.0
11,30,12.938,80.3,0.0
11,31,12.938,80.308,0.0
11,32,12.938,80.316,0.0
12,0,12.946,80.06,22.0
12,1,12.946,80.068,38.0
12,2,12.946,80.076,18.0
12,3,12.946,80.084,15.0
12,4,12.946,80.092,15.0
12,5,12.946,80.1,16.0
12,6,12.946,80.108,21.0
12,7,12.946,80.116,27.0
12,8,12.946,80.124,30.0
12,9,12.946,80.132,28.0
12,10,12.946,80.14,32.0
12,11,12.946,80.148,26.0
12,12,12.946,80.156,20.0
12,13,12.946,80.164,16.0
