row,col,lat,lon,elevation_m,flow_accumulation_cells,catchment_km2,twi,slope_deg
8,8,12.914,80.124,32.0,1.0,0.7522,11.59,0.462
8,9,12.914,80.132,25.0,4.0,3.0087,15.06,0.047
8,10,12.914,80.14,25.0,1.0,0.7522,13.53,0.066
8,11,12.914,80.148,31.0,1.0,0.7522,11.45,0.528
8,12,12.914,80.156,23.0,2.0,1.5044,12.03,0.595
8,13,12.914,80.164,14.0,4.0,3.0087,14.16,0.14
8,14,12.914,80.172,18.0,1.0,0.7522,11.59,0.462
8,15,12.914,80.18,15.0,1.0,0.7522,11.74,0.396
8,16,12.914,80.188,14.0,1.0,0.7522,12.27,0.234
8,17,12.914,80.196,19.0,1.0,0.7522,10.89,0.925
8,18,12.914,80.204,5.0,2.0,1.5044,12.84,0.264
8,19,12.914,80.212,1.0,6.0,4.5131,15.46,0.05
8,20,12.914,80.22,2.0,7.0,5.2652,15.48,0.066
8,21,12.914,80.228,1.0,10.0,7.5218,15.98,0.05
8,22,12.914,80.236,3.0,11.0,8.2739,15.23,0.132
8,23,12.914,80.244,1.0,16.0,12.0348,16.45,0.05
8,24,12.914,80.252,10.0,17.0,12.787,14.06,0.661
8,25,12.914,80.26,0.0,18.0,13.5392,16.56,0.05
8,26,12.914,80.268,0.0,19.0,14.2913,16.62,0.05
8,27,12.914,80.276,0.0,20.0,15.0435,16.67,0.05
8,28,12.914,80.284,0.0,21.0,15.7957,16.72,0.05
8,29,12.914,80.292,0.0,22.0,16.5479,16.76,0.05
8,30,12.914,80.3,0.0,23.0,17.3001,16.81,0.05
8,31,12.914,80.308,0.0,24.0,18.0522,16.85,0.05
8,32,12.914,80.316,0.0,25.0,18.8044,16.89,0.05
9,0,12.922,80.06,18.0,1.0,0.7522,13.53,0.066
9,1,12.922,80.068,17.0,31.0,23.3175,16.96,0.066
9,2,12.922,80.076,16.0,34.0,25.574,17.2,0.047
9,3,12.922,80.084,19.0,1.0,0.7522,12.14,0.264
9,4,12.922,80.092,20.0,1.0,0.7522,11.92,0.33
