water_body_id,osm_id,osm_type,name,category,water_type,latitude,longitude,city
wb-way-384472437,384472437,way,Unnamed Reservoir (wb-way-384472437),reservoir,reservoir,13.049815,80.072232,Chennai
wb-way-384476259,384476259,way,Thirupunanthal Lake,lake,lake,12.971556,80.135857,Chennai
wb-way-384479651,384479651,way,Unnamed Pond (wb-way-384479651),pond,pond,13.024778,80.084539,Chennai
wb-way-384479652,384479652,way,Unnamed Lake (wb-way-384479652),lake,lake,13.024725,80.086467,Chennai
wb-way-384479653,384479653,way,Unnamed Pond (wb-way-384479653),pond,pond,13.024245,80.08664,Chennai
wb-way-384479654,384479654,way,Unnamed Lake (wb-way-384479654),lake,lake,13.023801,80.087204,Chennai
wb-way-384479655,384479655,way,Unnamed Pond (wb-way-384479655),pond,pond,13.024872,80.088884,Chennai
wb-way-384479656,384479656,way,Unnamed Pond (wb-way-384479656),pond,pond,13.024232,80.09032,Chennai
wb-way-384479657,384479657,way,Unnamed Pond (wb-way-384479657),pond,pond,13.023496,80.085825,Chennai
wb-way-384479658,384479658,way,Unnamed Pond (wb-way-384479658),pond,pond,13.025255,80.087661,Chennai
wb-way-384479659,384479659,way,Unnamed Pond (wb-way-384479659),pond,pond,13.021866,80.086055,Chennai
wb-way-384479666,384479666,way,Unnamed Pond (wb-way-384479666),pond,pond,13.020047,80.083653,Chennai
wb-way-384482383,384482383,way,Unnamed Pond (wb-way-384482383),pond,pond,13.023018,80.081921,Chennai
wb-way-384482386,384482386,way,Unnamed Pond (wb-way-384482386),pond,pond,13.022702,80.081508,Chennai
wb-way-384530140,384530140,way,Unnamed Reservoir (wb-way-384530140),reservoir,reservoir,12.967066,80.122794,Chennai
wb-way-384530141,384530141,way,Unnamed Pond (wb-way-384530141),pond,water,12.969184,80.123178,Chennai
wb-way-384530143,384530143,way,Unnamed Pond (wb-way-384530143),pond,water,12.970581,80.1231,Chennai
wb-way-384530144,384530144,way,Unnamed Reservoir (wb-way-384530144),reservoir,reservoir,12.968948,80.122127,Chennai
wb-way-384530145,384530145,way,Unnamed Reservoir (wb-way-384530145),reservoir,reservoir,12.971185,80.124085,Chennai
wb-way-384535003,384535003,way,Unnamed Pond (wb-way-384535003),pond,pond,12.908853,80.071753,Chennai
wb-way-384622623,384622623,way,Unnamed Lake (wb-way-384622623),lake,lake,12.885248,80.103772,Chennai
wb-way-384622633,384622633,way,Unnamed Lake (wb-way-384622633),lake,lake,12.876823,80.106624,Chennai
wb-way-384622634,384622634,way,Unnamed Lake (wb-way-384622634),lake,lake,12.876054,80.105861,Chennai
wb-way-384622639,384622639,way,Unnamed Lake (wb-way-384622639),lake,lake,12.88046,80.103802,Chennai
wb-way-384622640,384622640,way,Unnamed Lake (wb-way-384622640),lake,lake,12.880606,80.10359,Chennai
wb-way-384622641,384622641,way,Unnamed Lake (wb-way-384622641),lake,lake,12.879509,80.103488,Chennai
wb-way-384622643,384622643,way,Unnamed Lake (wb-way-384622643),lake,lake,12.879882,80.103356,Chennai
wb-way-384622645,384622645,way,Unnamed Lake (wb-way-384622645),lake,lake,12.892199,80.107705,Chennai
wb-way-384660453,384660453,way,Unnamed Pond (wb-way-384660453),pond,pond,12.858341,80.105541,Chennai
wb-way-384677584,384677584,way,Unnamed Pond (wb-way-384677584),pond,pond,12.940734,80.07215,Chennai
wb-way-384790300,384790300,way,Unnamed Pond (wb-way-384790300),pond,pond,13.02806,80.055819,Chennai
